voxel,with_base_score,without_base_score
"(5, 32, 36)",0.8243018270652924,0.2776726713494664
"(5, 33, 36)",0.8243018270652922,0.27767261625234085
"(5, 33, 37)",0.8243018270652922,0.27767266863243534
"(5, 34, 37)",0.8243018270652928,0.27767265387713835
"(5, 34, 38)",0.8243018270652921,0.277672833024308
"(6, 31, 36)",0.8243018270652924,0.2776728095053743
"(6, 31, 37)",0.8243018270652922,0.2776727028981314
"(6, 31, 43)",0.8243018270652924,0.2776726913452444
"(6, 31, 44)",0.8243018270652919,0.277672803238862
"(6, 31, 45)",0.824301827065292,0.27767282448651776
"(6, 32, 41)",0.8243018270652926,0.2776728458387838
"(6, 32, 43)",0.8243018270652926,0.27767272002488075
"(6, 32, 44)",0.8243018270652926,0.27767271830005613
"(6, 32, 45)",0.8243018270652923,0.277672636118272
"(6, 32, 46)",0.8243018270652921,0.2776727248774622
"(6, 33, 46)",0.8243018270652923,0.2776727745245633
"(6, 33, 47)",0.8243018270652921,0.277672620988318
"(6, 33, 48)",0.8243018270652921,0.2776725474586318
"(6, 34, 46)",0.8243018270652925,0.2776725939329231
"(6, 34, 47)",0.8243018270652929,0.2776727960889117
"(6, 34, 48)",0.8243018270652925,0.2776727208434355
"(6, 36, 49)",0.8243018270652918,0.2776727733711052
"(6, 39, 50)",0.824301827065292,0.2776726315884992
"(6, 39, 51)",0.8243018270652928,0.2776727128164018
"(6, 40, 50)",0.824301827065292,0.27767274219908733
"(6, 40, 51)",0.8243018270652924,0.2776726413661088
"(7, 28, 33)",0.8243018270652926,0.277672732513648
"(7, 28, 34)",0.824301827065292,0.2776726780982658
"(7, 28, 35)",0.8243018270652926,0.27767268290727365
"(7, 29, 34)",0.8243018270652921,0.27767265542507613
"(7, 29, 35)",0.8243018270652923,0.27767266132147994
"(7, 29, 44)",0.8243018270652924,0.2776726845876958
"(7, 30, 43)",0.8243018270652922,0.2776728109211323
"(7, 30, 44)",0.8243018270652921,0.2776728333643299
"(7, 30, 45)",0.8243018270652923,0.27767267755333036
"(7, 30, 46)",0.8243018270652932,0.27767281840035263
"(7, 30, 47)",0.8243018270652924,0.2776726300356973
"(7, 30, 48)",0.8243018270652922,0.27767272376139385
"(7, 31, 44)",0.8243018270652922,0.27767260043105924
"(7, 31, 45)",0.8243018270652926,0.2776726594138329
"(7, 31, 46)",0.8243018270652919,0.2776727321468213
"(7, 31, 47)",0.8243018270652923,0.27767276802671836
"(7, 31, 48)",0.8243018270652925,0.2776728354917306
"(7, 31, 49)",0.8243018270652922,0.277672653516037
"(7, 31, 50)",0.8243018270652922,0.2776726687067468
"(7, 32, 49)",0.8243018270652923,0.27767266389650913
"(7, 32, 50)",0.8243018270652922,0.27767279858558624
"(7, 32, 51)",0.824301827065292,0.27767267958134967
"(8, 26, 36)",0.824301827065292,0.27767270444636716
"(8, 26, 37)",0.8243018270652918,0.27767259793181265
"(8, 26, 38)",0.8243018270652924,0.27767261601776383
"(8, 27, 31)",0.8243018270652924,0.2776727577992193
"(8, 27, 32)",0.824301827065292,0.2776726961972926
"(8, 27, 33)",0.8243018270652923,0.27767280269332506
"(8, 27, 34)",0.8243018270652924,0.27767276240505345
"(8, 27, 35)",0.8243018270652922,0.2776726181335608
"(8, 27, 36)",0.8243018270652922,0.2776726749735603
"(8, 27, 44)",0.8243018270652926,0.2776727120192477
"(8, 27, 45)",0.8243018270652922,0.2776727239796284
"(8, 28, 30)",0.8243018270652923,0.277672672083325
"(8, 28, 31)",0.8243018270652925,0.27767287794260287
"(8, 28, 32)",0.8243018270652923,0.27767267572440657
"(8, 28, 33)",0.8243018270652922,0.27767270738366856
"(8, 28, 34)",0.8243018270652924,0.27767275082975973
"(8, 28, 35)",0.8243018270652924,0.2776727179427181
"(8, 28, 38)",0.8243018270652923,0.2776727371312968
"(8, 28, 43)",0.8243018270652921,0.2776729105082585
"(8, 28, 44)",0.8243018270652926,0.2776727625752221
"(8, 28, 45)",0.8243018270652925,0.27767268867715034
"(8, 28, 46)",0.8243018270652925,0.27767263442449275
"(8, 28, 47)",0.8243018270652923,0.27767266464040996
"(8, 29, 30)",0.8243018270652924,0.27767271376985136
"(8, 29, 31)",0.8243018270652922,0.2776726729980159
"(8, 29, 32)",0.8243018270652922,0.2776728110853699
"(8, 29, 33)",0.8243018270652928,0.27767261968865087
"(8, 29, 34)",0.8243018270652925,0.2776728150949992
"(8, 29, 47)",0.8243018270652921,0.2776728418197636
"(8, 29, 48)",0.8243018270652922,0.27767272977367385
"(8, 29, 49)",0.8243018270652921,0.27767287049451383
"(8, 30, 30)",0.8243018270652921,0.27767271101730095
"(8, 30, 31)",0.824301827065292,0.2776726243411881
"(8, 30, 32)",0.8243018270652922,0.2776727803936683
"(8, 30, 33)",0.8243018270652922,0.2776728446875274
"(8, 30, 50)",0.8243018270652926,0.2776726657650114
"(8, 30, 51)",0.8243018270652925,0.2776727218539645
"(8, 30, 52)",0.8243018270652925,0.2776726918308261
"(8, 31, 30)",0.8243018270652926,0.2776726368196316
"(8, 31, 31)",0.8243018270652922,0.27767268457635763
"(8, 31, 32)",0.8243018270652926,0.27767259310750647
"(8, 31, 51)",0.8243018270652924,0.2776727449939199
"(8, 31, 52)",0.824301827065292,0.27767276378215466
"(8, 31, 53)",0.824301827065292,0.2776727200110808
"(8, 32, 52)",0.8243018270652928,0.2776727145895279
"(8, 32, 53)",0.8243018270652922,0.277672669025134
"(8, 32, 54)",0.8243018270652926,0.2776726601697215
"(8, 33, 39)",0.8243018270652922,0.2776725835524063
"(8, 33, 55)",0.824301827065292,0.27767262175772556
"(8, 34, 38)",0.8243018270652923,0.2776727008085377
"(8, 34, 39)",0.8243018270652922,0.27767287124607876
"(8, 34, 40)",0.8243018270652922,0.27767263675608733
